path,s_X,s_Y,e_X,e_Y
/opt/ml/input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,93,141,261,359
/opt/ml/input/data/train/images/000007_female_Asian_58/mask3.jpg,88,154,254,379
/opt/ml/input/data/train/images/000007_female_Asian_58/mask2.jpg,91,143,253,371
/opt/ml/input/data/train/images/000008_female_Asian_58/mask1.jpg,94,124,273,364
/opt/ml/input/data/train/images/000008_female_Asian_58/mask4.jpg,94,144,265,369
/opt/ml/input/data/train/images/000008_female_Asian_58/normal.jpg,99,138,257,349
/opt/ml/input/data/train/images/000008_female_Asian_58/mask5.jpg,124,159,267,367
/opt/ml/input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg,100,144,261,352
/opt/ml/input/data/train/images/000008_female_Asian_58/mask3.jpg,100,111,285,365
/opt/ml/input/data/train/images/000008_female_Asian_58/mask2.jpg,97,151,248,359
/opt/ml/input/data/train/images/000009_female_Asian_56/mask1.jpg,100,162,270,399
/opt/ml/input/data/train/images/000009_female_Asian_56/mask4.jpg,90,136,268,373
/opt/ml/input/data/train/images/000009_female_Asian_56/normal.jpg,103,141,254,348
/opt/ml/input/data/train/images/000009_female_Asian_56/mask5.jpg,107,166,270,372
/opt/ml/input/data/train/images/000009_female_Asian_56/incorrect_mask.jpg,85,163,254,390
/opt/ml/input/data/train/images/000009_female_Asian_56/mask3.jpg,83,148,262,358
/opt/ml/input/data/train/images/000009_female_Asian_56/mask2.jpg,96,153,251,362
/opt/ml/input/data/train/images/000010_female_Asian_58/mask1.jpg,95,126,281,384
/opt/ml/input/data/train/images/000010_female_Asian_58/mask4.jpg,94,135,270,379
/opt/ml/input/data/train/images/000010_female_Asian_58/normal.jpg,108,131,268,350
/opt/ml/input/data/train/images/000010_female_Asian_58/mask5.jpg,96,112,274,363
/opt/ml/input/data/train/images/000010_female_Asian_58/incorrect_mask.jpg,91,141,268,380
/opt/ml/input/data/train/images/000010_female_Asian_58/mask3.jpg,95,115,277,362
/opt/ml/input/data/train/images/000010_female_Asian_58/mask2.jpg,89,129,272,375
/opt/ml/input/data/train/images/000012_male_Asian_57/mask1.jpg,96,106,266,347
/opt/ml/input/data/train/images/000012_male_Asian_57/mask4.jpg,91,96,282,358
/opt/ml/input/data/train/images/000012_male_Asian_57/normal.jpg,113,134,256,322
/opt/ml/input/data/train/images/000012_male_Asian_57/mask5.jpg,89,92,282,361
/opt/ml/input/data/train/images/000012_male_Asian_57/incorrect_mask.jpg,96,98,279,349
/opt/ml/input/data/train/images/000012_male_Asian_57/mask3.jpg,88,95,280,362
/opt/ml/input/data/train/images/000012_male_Asian_57/mask2.jpg,89,117,257,351
/opt/ml/input/data/train/images/000014_female_Asian_58/mask1.jpg,83,138,266,369
/opt/ml/input/data/train/images/000014_female_Asian_58/mask4.jpg,80,144,269,401
/opt/ml/input/data/train/images/000014_female_Asian_58/normal.jpg,109,135,259,327
/opt/ml/input/data/train/images/000014_female_Asian_58/mask5.jpg,92,116,270,355
/opt/ml/input/data/train/images/000014_female_Asian_58/incorrect_mask.jpg,100,149,273,380
/opt/ml/input/data/train/images/000014_female_Asian_58/mask3.jpg,100,133,280,360
/opt/ml/input/data/train/images/000014_female_Asian_58/mask2.jpg,105,145,288,404
/opt/ml/input/data/train/images/000015_male_Asian_55/mask1.jpg,91,108,283,390
/opt/ml/input/data/train/images/000015_male_Asian_55/mask4.jpg,87,114,263,356
/opt/ml/input/data/train/images/000015_male_Asian_55/normal.jpg,77,109,274,388
/opt/ml/input/data/train/images/000015_male_Asian_55/mask5.jpg,103,106,286,358
/opt/ml/input/data/train/images/000015_male_Asian_55/incorrect_mask.jpg,101,125,280,385
/opt/ml/input/data/train/images/000015_male_Asian_55/mask3.jpg,88,94,279,359
/opt/ml/input/data/train/images/000015_male_Asian_55/mask2.jpg,84,102,267,367
/opt/ml/input/data/train/images/000016_female_Asian_58/mask1.jpg,100,113,265,350
/opt/ml/input/data/train/images/000016_female_Asian_58/mask4.jpg,111,123,285,373
/opt/ml/input/data/train/images/000016_female_Asian_58/normal.jpg,118,123,269,338
/opt/ml/input/data/train/images/000016_female_Asian_58/mask5.jpg,102,107,265,323
/opt/ml/input/data/train/images/000016_female_Asian_58/incorrect_mask.jpg,113,144,272,353
/opt/ml/input/data/train/images/000016_female_Asian_58/mask3.jpg,98,129,253,340
/opt/ml/input/data/train/images/000016_female_Asian_58/mask2.jpg,91,150,253,365
/opt/ml/input/data/train/images/000018_female_Asian_59/mask1.jpg,82,104,274,380
/opt/ml/input/data/train/images/000018_female_Asian_59/mask4.jpg,93,136,261,372
/opt/ml/input/data/train/images/000018_female_Asian_59/normal.jpg,71,92,261,355
/opt/ml/input/data/train/images/000018_female_Asian_59/mask5.jpg,81,127,251,355
/opt/ml/input/data/train/images/000018_female_Asian_59/incorrect_mask.jpg,77,128,268,377
/opt/ml/input/data/train/images/000018_female_Asian_59/mask3.jpg,86,141,275,389
/opt/ml/input/data/train/images/000018_female_Asian_59/mask2.jpg,78,122,255,358
/opt/ml/input/data/train/images/000019_female_Asian_57/mask1.jpg,93,100,283,373
/opt/ml/input/data/train/images/000019_female_Asian_57/mask4.jpg,104,128,275,362
/opt/ml/input/data/train/images/000019_female_Asian_57/normal.jpg,102,149,259,357
/opt/ml/input/data/train/images/000019_female_Asian_57/mask5.jpg,99,97,267,331
/opt/ml/input/data/train/images/000019_female_Asian_57/incorrect_mask.jpg,96,126,255,321
/opt/ml/input/data/train/images/000019_female_Asian_57/mask3.jpg,103,132,279,374
/opt/ml/input/data/train/images/000019_female_Asian_57/mask2.jpg,90,151,252,365
/opt/ml/input/data/train/images/000020_female_Asian_50/mask1.jpg,130,104,295,337
/opt/ml/input/data/train/images/000020_female_Asian_50/mask4.jpg,107,112,266,332
/opt/ml/input/data/train/images/000020_female_Asian_50/normal.jpg,102,130,261,330
/opt/ml/input/data/train/images/000020_female_Asian_50/mask5.jpg,118,116,270,323
/opt/ml/input/data/train/images/000020_female_Asian_50/incorrect_mask.jpg,110,109,262,314
/opt/ml/input/data/train/images/000020_female_Asian_50/mask3.jpg,98,104,264,327
/opt/ml/input/data/train/images/000020_female_Asian_50/mask2.jpg,105,125,261,339
/opt/ml/input/data/train/images/000021_female_Asian_54/mask1.jpg,117,133,270,334
/opt/ml/input/data/train/images/000021_female_Asian_54/mask4.jpg,94,186,260,409
/opt/ml/input/data/train/images/000021_female_Asian_54/normal.jpg,115,102,256,294
/opt/ml/input/data/train/images/000021_female_Asian_54/mask5.jpg,112,145,264,349
/opt/ml/input/data/train/images/000021_female_Asian_54/incorrect_mask.jpg,103,136,268,335
/opt/ml/input/data/train/images/000021_female_Asian_54/mask3.jpg,111,139,266,344
/opt/ml/input/data/train/images/000021_female_Asian_54/mask2.jpg,113,112,265,318
/opt/ml/input/data/train/images/000022_female_Asian_58/mask1.jpg,101,152,272,399
/opt/ml/input/data/train/images/000022_female_Asian_58/mask4.jpg,82,115,277,383
/opt/ml/input/data/train/images/000022_female_Asian_58/normal.jpg,131,180,238,313
/opt/ml/input/data/train/images/000022_female_Asian_58/mask5.jpg,97,147,261,376
/opt/ml/input/data/train/images/000022_female_Asian_58/incorrect_mask.jpg,94,146,273,385
/opt/ml/input/data/train/images/000022_female_Asian_58/mask3.jpg,80,142,253,362
/opt/ml/input/data/train/images/000022_female_Asian_58/mask2.jpg,78,128,271,392
/opt/ml/input/data/train/images/000023_female_Asian_55/mask1.jpg,81,141,248,374
/opt/ml/input/data/train/images/000023_female_Asian_55/mask4.jpg,96,132,265,354
/opt/ml/input/data/train/images/000023_female_Asian_55/normal.jpg,126,157,265,334
/opt/ml/input/data/train/images/000023_female_Asian_55/mask5.jpg,89,133,265,368
/opt/ml/input/data/train/images/000023_female_Asian_55/incorrect_mask.jpg,92,165,259,380
/opt/ml/input/data/train/images/000023_female_Asian_55/mask3.jpg,93,121,270,355
/opt/ml/input/data/train/images/000023_female_Asian_55/mask2.jpg,74,123,251,373
/opt/ml/input/data/train/images/000024_female_Asian_58/mask1.jpg,84,147,280,394
/opt/ml/input/data/train/images/000024_female_Asian_58/mask4.jpg,79,154,277,383
/opt/ml/input/data/train/images/000024_female_Asian_58/normal.jpg,106,126,276,338
/opt/ml/input/data/train/images/000024_female_Asian_58/mask5.jpg,94,145,265,378
/opt/ml/input/data/train/images/000024_female_Asian_58/incorrect_mask.jpg,98,140,284,364
/opt/ml/input/data/train/images/000024_female_Asian_58/mask3.jpg,85,145,278,389
/opt/ml/input/data/train/images/000024_female_Asian_58/mask2.jpg,85,121,288,385
/opt/ml/input/data/train/images/000025_female_Asian_49/mask1.jpg,118,130,275,350
/opt/ml/input/data/train/images/000025_female_Asian_49/mask4.jpg,96,156,257,363
/opt/ml/input/data/train/images/000025_female_Asian_49/normal.jpg,120,131,273,337
/opt/ml/input/data/train/images/000025_female_Asian_49/mask5.jpg,114,133,264,327
/opt/ml/input/data/train/images/000025_female_Asian_49/incorrect_mask.jpg,115,180,278,382
/opt/ml/input/data/train/images/000025_female_Asian_49/mask3.jpg,79,127,249,342
/opt/ml/input/data/train/images/000025_female_Asian_49/mask2.jpg,90,158,241,341
/opt/ml/input/data/train/images/000026_female_Asian_56/mask1.jpg,123,146,278,356
/opt/ml/input/data/train/images/000026_female_Asian_56/mask4.jpg,103,141,269,351
/opt/ml/input/data/train/images/000026_female_Asian_56/normal.jpg,97,101,281,350
/opt/ml/input/data/train/images/000026_female_Asian_56/mask5.jpg,115,156,257,345
/opt/ml/input/data/train/images/000026_female_Asian_56/incorrect_mask.jpg,103,158,260,355
/opt/ml/input/data/train/images/000026_female_Asian_56/mask3.jpg,78,156,252,374
/opt/ml/input/data/train/images/000026_female_Asian_56/mask2.jpg,101,142,247,344
/opt/ml/input/data/train/images/000028_female_Asian_58/mask1.jpg,100,116,291,390
/opt/ml/input/data/train/images/000028_female_Asian_58/mask4.jpg,100,131,266,353
/opt/ml/input/data/train/images/000028_female_Asian_58/normal.jpg,84,95,258,337
/opt/ml/input/data/train/images/000028_female_Asian_58/mask5.jpg,80,115,269,384
/opt/ml/input/data/train/images/000028_female_Asian_58/incorrect_mask.jpg,92,122,267,374
/opt/ml/input/data/train/images/000028_female_Asian_58/mask3.jpg,96,146,286,405
/opt/ml/input/data/train/images/000028_female_Asian_58/mask2.jpg,82,167,273,430
/opt/ml/input/data/train/images/000029_female_Asian_58/mask1.jpg,74,130,253,382
/opt/ml/input/data/train/images/000029_female_Asian_58/mask4.jpg,85,152,251,372
/opt/ml/input/data/train/images/000029_female_Asian_58/normal.jpg,91,142,253,349
/opt/ml/input/data/train/images/000029_female_Asian_58/mask5.jpg,68,132,287,424
/opt/ml/input/data/train/images/000029_female_Asian_58/incorrect_mask.jpg,93,118,273,352
/opt/ml/input/data/train/images/000029_female_Asian_58/mask3.jpg,63,120,262,372
/opt/ml/input/data/train/images/000029_female_Asian_58/mask2.jpg,95,157,265,368
/opt/ml/input/data/train/images/000030_female_Asian_55/mask1.jpg,93,88,291,380
/opt/ml/input/data/train/images/000030_female_Asian_55/mask4.jpg,75,107,290,388
/opt/ml/input/data/train/images/000030_female_Asian_55/normal.jpg,102,92,261,308
/opt/ml/input/data/train/images/000030_female_Asian_55/mask5.jpg,71,133,292,445
/opt/ml/input/data/train/images/000030_female_Asian_55/incorrect_mask.jpg,98,105,278,353
/opt/ml/input/data/train/images/000030_female_Asian_55/mask3.jpg,79,60,286,336
/opt/ml/input/data/train/images/000030_female_Asian_55/mask2.jpg,70,108,259,357
/opt/ml/input/data/train/images/000031_female_Asian_54/mask1.jpg,74,139,264,395
/opt/ml/input/data/train/images/000031_female_Asian_54/mask4.jpg,82,139,270,374
/opt/ml/input/data/train/images/000031_female_Asian_54/normal.jpg,98,153,260,377
/opt/ml/input/data/train/images/000031_female_Asian_54/mask5.jpg,75,146,248,392
/opt/ml/input/data/train/images/000031_female_Asian_54/incorrect_mask.jpg,99,137,273,378
/opt/ml/input/data/train/images/000031_female_Asian_54/mask3.jpg,91,139,271,375
/opt/ml/input/data/train/images/000031_female_Asian_54/mask2.jpg,92,153,271,401
/opt/ml/input/data/train/images/000033_male_Asian_57/mask1.jpg,109,119,262,355
/opt/ml/input/data/train/images/000033_male_Asian_57/mask4.jpg,104,127,259,374
/opt/ml/input/data/train/images/000033_male_Asian_57/normal.jpg,118,107,260,322
/opt/ml/input/data/train/images/000033_male_Asian_57/mask5.jpg,98,124,272,390
/opt/ml/input/data/train/images/000033_male_Asian_57/incorrect_mask.jpg,101,91,270,349
/opt/ml/input/data/train/images/000033_male_Asian_57/mask3.jpg,82,129,265,397
/opt/ml/input/data/train/images/000033_male_Asian_57/mask2.jpg,83,124,265,388
/opt/ml/input/data/train/images/000034_female_Asian_55/mask1.jpg,97,134,246,349
/opt/ml/input/data/train/images/000034_female_Asian_55/mask4.jpg,84,107,257,339
/opt/ml/input/data/train/images/000034_female_Asian_55/normal.jpg,120,111,261,301
/opt/ml/input/data/train/images/000034_female_Asian_55/mask5.jpg,117,168,267,378
/opt/ml/input/data/train/images/000034_female_Asian_55/incorrect_mask.jpg,104,110,266,330
/opt/ml/input/data/train/images/000034_female_Asian_55/mask3.jpg,103,131,255,344
/opt/ml/input/data/train/images/000034_female_Asian_55/mask2.jpg,105,132,270,352
/opt/ml/input/data/train/images/000036_female_Asian_58/mask1.jpg,78,133,249,365
/opt/ml/input/data/train/images/000036_female_Asian_58/mask4.jpg,103,148,276,363
/opt/ml/input/data/train/images/000036_female_Asian_58/normal.jpg,113,121,259,320
/opt/ml/input/data/train/images/000036_female_Asian_58/mask5.jpg,107,144,274,354
/opt/ml/input/data/train/images/000036_female_Asian_58/incorrect_mask.jpg,99,120,277,349
/opt/ml/input/data/train/images/000036_female_Asian_58/mask3.jpg,91,148,273,378
/opt/ml/input/data/train/images/000036_female_Asian_58/mask2.jpg,79,135,260,377
/opt/ml/input/data/train/images/000037_female_Asian_58/mask1.jpg,105,127,258,336
/opt/ml/input/data/train/images/000037_female_Asian_58/mask4.jpg,76,145,258,388
/opt/ml/input/data/train/images/000037_female_Asian_58/normal.jpg,93,119,258,335
/opt/ml/input/data/train/images/000037_female_Asian_58/mask5.jpg,112,160,265,380
/opt/ml/input/data/train/images/000037_female_Asian_58/incorrect_mask.jpg,101,141,265,318
/opt/ml/input/data/train/images/000037_female_Asian_58/mask3.jpg,115,129,268,319
/opt/ml/input/data/train/images/000037_female_Asian_58/mask2.jpg,97,104,262,311
/opt/ml/input/data/train/images/000038_female_Asian_58/mask1.jpg,78,134,267,404
/opt/ml/input/data/train/images/000038_female_Asian_58/mask4.jpg,82,135,269,389
/opt/ml/input/data/train/images/000038_female_Asian_58/normal.jpg,83,88,286,370
/opt/ml/input/data/train/images/000038_female_Asian_58/mask5.jpg,70,121,269,404
/opt/ml/input/data/train/images/000038_female_Asian_58/incorrect_mask.jpg,76,125,263,364
/opt/ml/input/data/train/images/000038_female_Asian_58/mask3.jpg,69,129,275,394
/opt/ml/input/data/train/images/000038_female_Asian_58/mask2.jpg,84,178,274,435
/opt/ml/input/data/train/images/000039_female_Asian_57/mask1.jpg,79,149,251,385
/opt/ml/input/data/train/images/000039_female_Asian_57/mask4.jpg,89,147,252,368
/opt/ml/input/data/train/images/000039_female_Asian_57/normal.jpg,91,136,276,394
/opt/ml/input/data/train/images/000039_female_Asian_57/mask5.jpg,101,159,259,374
/opt/ml/input/data/train/images/000039_female_Asian_57/incorrect_mask.jpg,89,128,260,368
/opt/ml/input/data/train/images/000039_female_Asian_57/mask3.jpg,92,159,268,412
/opt/ml/input/data/train/images/000039_female_Asian_57/mask2.jpg,74,128,258,370
/opt/ml/input/data/train/images/000040_female_Asian_57/mask1.jpg,101,132,262,366
/opt/ml/input/data/train/images/000040_female_Asian_57/mask4.jpg,96,156,261,387
/opt/ml/input/data/train/images/000040_female_Asian_57/normal.jpg,109,141,278,385
/opt/ml/input/data/train/images/000040_female_Asian_57/mask5.jpg,92,131,260,373
/opt/ml/input/data/train/images/000040_female_Asian_57/incorrect_mask.jpg,100,119,263,348
/opt/ml/input/data/train/images/000040_female_Asian_57/mask3.jpg,111,133,265,364
/opt/ml/input/data/train/images/000040_female_Asian_57/mask2.jpg,108,138,267,357
/opt/ml/input/data/train/images/000041_female_Asian_58/mask1.jpg,85,103,262,354
/opt/ml/input/data/train/images/000041_female_Asian_58/mask4.jpg,92,151,271,380
/opt/ml/input/data/train/images/000041_female_Asian_58/normal.jpg,103,122,278,349
/opt/ml/input/data/train/images/000041_female_Asian_58/mask5.jpg,73,128,290,425
/opt/ml/input/data/train/images/000041_female_Asian_58/incorrect_mask.jpg,90,141,263,361
/opt/ml/input/data/train/images/000041_female_Asian_58/mask3.jpg,86,128,270,358
/opt/ml/input/data/train/images/000041_female_Asian_58/mask2.jpg,87,118,279,366
/opt/ml/input/data/train/images/000043_male_Asian_56/mask1.jpg,94,155,262,375
/opt/ml/input/data/train/images/000043_male_Asian_56/mask4.jpg,83,125,261,340
/opt/ml/input/data/train/images/000043_male_Asian_56/normal.jpg,89,137,273,381
/opt/ml/input/data/train/images/000043_male_Asian_56/mask5.jpg,87,123,266,374
/opt/ml/input/data/train/images/000043_male_Asian_56/incorrect_mask.jpg,96,150,265,365
/opt/ml/input/data/train/images/000043_male_Asian_56/mask3.jpg,70,138,265,400
/opt/ml/input/data/train/images/000043_male_Asian_56/mask2.jpg,91,143,256,363
/opt/ml/input/data/train/images/000044_female_Asian_58/mask1.jpg,90,97,290,409
/opt/ml/input/data/train/images/000044_female_Asian_58/mask4.jpg,95,145,272,379
/opt/ml/input/data/train/images/000044_female_Asian_58/normal.jpg,103,119,293,388
/opt/ml/input/data/train/images/000044_female_Asian_58/mask5.jpg,92,139,276,395
/opt/ml/input/data/train/images/000044_female_Asian_58/incorrect_mask.jpg,92,192,255,431
/opt/ml/input/data/train/images/000044_female_Asian_58/mask3.jpg,106,130,273,361
/opt/ml/input/data/train/images/000044_female_Asian_58/mask2.jpg,99,113,277,368
/opt/ml/input/data/train/images/000045_female_Asian_56/mask1.jpg,92,129,288,401
/opt/ml/input/data/train/images/000045_female_Asian_56/mask4.jpg,81,98,285,371
/opt/ml/input/data/train/images/000045_female_Asian_56/normal.jpg,102,104,269,347
/opt/ml/input/data/train/images/000045_female_Asian_56/mask5.jpg,97,138,264,369
/opt/ml/input/data/train/images/000045_female_Asian_56/incorrect_mask.jpg,100,134,263,353
/opt/ml/input/data/train/images/000045_female_Asian_56/mask3.jpg,82,125,269,382
/opt/ml/input/data/train/images/000045_female_Asian_56/mask2.jpg,86,130,276,394
/opt/ml/input/data/train/images/000046_male_Asian_55/mask1.jpg,100,135,278,397
/opt/ml/input/data/train/images/000046_male_Asian_55/mask4.jpg,89,114,266,358
/opt/ml/input/data/train/images/000046_male_Asian_55/normal.jpg,81,118,277,408
/opt/ml/input/data/train/images/000046_male_Asian_55/mask5.jpg,110,123,294,395
/opt/ml/input/data/train/images/000046_male_Asian_55/incorrect_mask.jpg,92,114,273,369
/opt/ml/input/data/train/images/000046_male_Asian_55/mask3.jpg,82,96,281,354
/opt/ml/input/data/train/images/000046_male_Asian_55/mask2.jpg,94,89,286,366
/opt/ml/input/data/train/images/000047_male_Asian_58/mask1.jpg,116,148,276,383
/opt/ml/input/data/train/images/000047_male_Asian_58/mask4.jpg,82,122,261,378
/opt/ml/input/data/train/images/000047_male_Asian_58/normal.jpg,95,95,271,328
/opt/ml/input/data/train/images/000047_male_Asian_58/mask5.jpg,91,147,265,387
/opt/ml/input/data/train/images/000047_male_Asian_58/incorrect_mask.jpg,96,166,259,369
/opt/ml/input/data/train/images/000047_male_Asian_58/mask3.jpg,100,120,271,359
/opt/ml/input/data/train/images/000047_male_Asian_58/mask2.jpg,94,133,261,353
/opt/ml/input/data/train/images/000048_female_Asian_57/mask1.jpg,86,150,264,391
/opt/ml/input/data/train/images/000048_female_Asian_57/mask4.jpg,71,138,264,395
/opt/ml/input/data/train/images/000048_female_Asian_57/normal.jpg,82,131,263,378
/opt/ml/input/data/train/images/000048_female_Asian_57/mask5.jpg,90,131,281,386
/opt/ml/input/data/train/images/000048_female_Asian_57/incorrect_mask.jpg,74,125,260,367
/opt/ml/input/data/train/images/000048_female_Asian_57/mask3.jpg,96,141,279,375
/opt/ml/input/data/train/images/000048_female_Asian_57/mask2.jpg,74,145,261,383
/opt/ml/input/data/train/images/000062_female_Asian_55/mask1.jpg,79,142,290,397
/opt/ml/input/data/train/images/000062_female_Asian_55/mask4.jpg,77,157,279,429
/opt/ml/input/data/train/images/000062_female_Asian_55/normal.jpg,110,154,274,366
/opt/ml/input/data/train/images/000062_female_Asian_55/mask5.jpg,50,166,291,482
/opt/ml/input/data/train/images/000062_female_Asian_55/incorrect_mask.jpg,69,152,285,436
/opt/ml/input/data/train/images/000062_female_Asian_55/mask3.jpg,73,137,287,427
/opt/ml/input/data/train/images/000062_female_Asian_55/mask2.jpg,60,113,290,442
/opt/ml/input/data/train/images/000064_male_Asian_59/mask1.jpg,77,145,257,417
/opt/ml/input/data/train/images/000064_male_Asian_59/mask4.jpg,81,138,269,405
/opt/ml/input/data/train/images/000064_male_Asian_59/normal.jpg,102,146,255,366
/opt/ml/input/data/train/images/000064_male_Asian_59/mask5.jpg,70,125,267,433
/opt/ml/input/data/train/images/000064_male_Asian_59/incorrect_mask.jpg,81,133,268,408
/opt/ml/input/data/train/images/000064_male_Asian_59/mask3.jpg,69,140,255,412
/opt/ml/input/data/train/images/000064_male_Asian_59/mask2.jpg,82,135,277,433
/opt/ml/input/data/train/images/000066_female_Asian_53/mask1.jpg,94,178,272,428
/opt/ml/input/data/train/images/000066_female_Asian_53/mask4.jpg,72,183,267,443
/opt/ml/input/data/train/images/000066_female_Asian_53/normal.jpg,101,118,273,340
/opt/ml/input/data/train/images/000066_female_Asian_53/mask5.jpg,71,170,267,433
/opt/ml/input/data/train/images/000066_female_Asian_53/incorrect_mask.jpg,70,172,259,423
/opt/ml/input/data/train/images/000066_female_Asian_53/mask3.jpg,72,164,256,405
/opt/ml/input/data/train/images/000066_female_Asian_53/mask2.jpg,79,181,265,430
/opt/ml/input/data/train/images/000067_female_Asian_54/mask1.jpg,82,149,256,404
/opt/ml/input/data/train/images/000067_female_Asian_54/mask4.jpg,78,152,256,372
/opt/ml/input/data/train/images/000067_female_Asian_54/normal.jpg,101,146,251,355
/opt/ml/input/data/train/images/000067_female_Asian_54/mask5.jpg,75,146,257,387
/opt/ml/input/data/train/images/000067_female_Asian_54/incorrect_mask.jpg,67,144,262,413
/opt/ml/input/data/train/images/000067_female_Asian_54/mask3.jpg,76,147,263,386
/opt/ml/input/data/train/images/000067_female_Asian_54/mask2.jpg,73,162,242,402
/opt/ml/input/data/train/images/000069_female_Asian_54/mask1.jpg,72,188,263,449
/opt/ml/input/data/train/images/000069_female_Asian_54/mask4.jpg,84,179,278,436
/opt/ml/input/data/train/images/000069_female_Asian_54/normal.jpg,93,172,271,398
/opt/ml/input/data/train/images/000069_female_Asian_54/mask5.jpg,87,189,266,410
/opt/ml/input/data/train/images/000069_female_Asian_54/incorrect_mask.jpg,73,162,260,400
/opt/ml/input/data/train/images/000069_female_Asian_54/mask3.jpg,81,159,282,418
/opt/ml/input/data/train/images/000069_female_Asian_54/mask2.jpg,103,193,266,412
/opt/ml/input/data/train/images/000070_female_Asian_58/mask1.jpg,93,119,298,431
/opt/ml/input/data/train/images/000070_female_Asian_58/mask4.jpg,74,154,263,392
/opt/ml/input/data/train/images/000070_female_Asian_58/normal.jpg,111,169,271,372
/opt/ml/input/data/train/images/000070_female_Asian_58/mask5.jpg,76,169,260,403
/opt/ml/input/data/train/images/000070_female_Asian_58/incorrect_mask.jpg,107,206,256,382
/opt/ml/input/data/train/images/000070_female_Asian_58/mask3.jpg,104,149,288,399
/opt/ml/input/data/train/images/000070_female_Asian_58/mask2.jpg,75,141,285,442
/opt/ml/input/data/train/images/000071_female_Asian_56/mask1.jpg,108,147,263,319
/opt/ml/input/data/train/images/000071_female_Asian_56/mask4.jpg,116,184,262,352
/opt/ml/input/data/train/images/000071_female_Asian_56/normal.jpg,102,152,240,323
/opt/ml/input/data/train/images/000071_female_Asian_56/mask5.jpg,106,168,263,382
/opt/ml/input/data/train/images/000071_female_Asian_56/incorrect_mask.jpg,120,151,290,368
/opt/ml/input/data/train/images/000071_female_Asian_56/mask3.jpg,104,150,282,354
/opt/ml/input/data/train/images/000071_female_Asian_56/mask2.jpg,94,149,286,381
/opt/ml/input/data/train/images/000073_female_Asian_52/mask1.jpg,81,129,259,324
